オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス,氏名,ひらがな,生年月日,性別,都道府県,商品名,カテゴリ,サブカテゴリ,色,サイズ,定価
202103140007-1,2021-03-14,C00001323,SW-CWWL,1,18400,2021-03-20,,配達済み,岩本 陽子,いわもと ようこ,1981-06-01,女,沖縄県,Women White セーター C L,トップス,Women,White,L,18400
202103140000-1,2021-03-14,C00000167,SK-AWBM,1,18100,2021-03-18,,配達済み,工藤 栄美子,くどう えみこ,1999-02-27,女,東京都,Women Black スカート A M,ボトムス,Women,Black,M,18100
202103140009-1,2021-03-14,C00001395,TB-AUNN,1,7800,2021-03-20,,配達済み,宮崎 健一,みやざき けんいち,1997-06-15,男,大阪府,トートバッグ A,バッグ,Unisex,,,7800
202103140011-1,2021-03-14,C00001761,TS-CMBS,1,7600,2021-03-19,,配達済み,坂井 啓二,さかい けいじ,1975-09-04,男,埼玉県,Men Black Tシャツ C S,トップス,Men,Black,S,7600
202103140004-1,2021-03-14,C00000429,TS-BWBS,1,7600,2021-03-17,,配達済み,山本 久美子,やまもと くみこ,1992-09-07,女,岐阜県,Women Black Tシャツ B S,トップス,Women,Black,S,7600
202103150017-1,2021-03-15,C00001371,SB-BUNN,1,6800,2021-03-20,,配達済み,長崎 彩希,ながさき あやき,1993-12-25,女,沖縄県,ショルダーバッグ B,バッグ,Unisex,,,6800
202103150019-1,2021-03-15,C00001944,PA-BWGS,1,19800,2021-03-17,,配達済み,今野 綾華,こんの あやか,1987-10-17,女,東京都,Women Gray パンツ B S,ボトムス,Women,Gray,S,19800
202103150006-1,2021-03-15,C00000550,NI-BMWS,1,14500,2021-03-21,,配達済み,高橋 雅史,たかはし まさし,1996-05-07,男,山口県,Men White ニット B S,トップス,Men,White,S,14500
202103150001-1,2021-03-15,C00000410,SW-CMBM,2,36800,2021-03-20,,配達済み,藤田 俊光,ふじた としみつ,1987-03-01,男,兵庫県,Men Black セーター C M,トップス,Men,Black,M,18400
202103150000-1,2021-03-15,C00000039,BP-AUNN,1,10200,2021-03-18,,配達済み,井上 さやか,いのうえ さやか,1973-03-04,女,東京都,バックパック A,バッグ,Unisex,,,10200
202103150000-2,2021-03-15,C00000039,NI-CWGS,1,12400,2021-03-21,,配達済み,井上 さやか,いのうえ さやか,1973-03-04,女,東京都,Women Gray ニット C S,トップス,Women,Gray,S,12400
202103150020-1,2021-03-15,C00002139,HA-AUNN,1,5280,2021-03-20,,配達済み,神谷 梨香,かみや りか,1976-05-27,女,東京都,帽子 A,小物,Unisex,,,5280
202103150013-1,2021-03-15,C00001193,CT-CWWL,1,31000,2021-03-20,,配達済み,甲斐田 まりこ,かいだ まりこ,1995-09-29,女,東京都,Women White コート C L,アウター,Women,White,L,31000
202103150007-1,2021-03-15,C00000815,PA-CMBL,1,14300,2021-03-18,,配達済み,宮原 敬子,みやはら けいこ,1990-09-08,女,静岡県,Men Black パンツ C L,ボトムス,Men,Black,L,14300
202103150021-1,2021-03-15,C00002199,PA-CWWM,1,14300,2021-03-20,,配達済み,石橋 麻里奈,いしばし まりな,1978-11-15,女,千葉県,Women White パンツ C M,ボトムス,Women,White,M,14300
202103150018-1,2021-03-15,C00001546,SK-AWGM,1,18100,2021-03-20,,配達済み,安東 記代,あんどう きよ,1998-08-07,女,熊本県,Women Gray スカート A M,ボトムス,Women,Gray,M,18100
202103150010-1,2021-03-15,C00000916,BP-BUNN,1,9800,2021-03-17,,配達済み,前田 俊一,まえだ しゅんいち,2001-04-22,男,大阪府,バックパック B,バッグ,Unisex,,,9800
202103190021-1,2021-03-19,C00000991,SW-AWGL,1,17600,2021-03-23,,配達済み,片岡 亜実,かたおか あみ,2000-07-23,女,東京都,Women Gray セーター A L,トップス,Women,Gray,L,17600
202103190018-1,2021-03-19,C00000809,SW-AMBS,1,16000,2021-03-23,,配達済み,中神 勇樹,なかがみ ゆうき,1979-03-09,男,大阪府,Men Black セーター A S,トップス,Men,Black,S,16000
202103190000-1,2021-03-19,C00000014,PA-CWGL,1,14300,2021-03-23,,配達済み,山本 佑季子,やまもと ゆきこ,1983-07-06,女,福井県,Women Gray パンツ C L,ボトムス,Women,Gray,L,14300
202103190033-1,2021-03-19,C00001844,SW-CMBS,1,18400,2021-03-23,,配達済み,野口 文絵,のぐち ふみえ,1973-02-12,女,東京都,Men Black セーター C S,トップス,Men,Black,S,18400
202103190027-1,2021-03-19,C00001468,TS-AMWL,1,7900,2021-03-25,,配達済み,小倉 直樹,おぐら なおき,1978-06-19,男,愛知県,Men White Tシャツ A L,トップス,Men,White,L,7900
202103190022-1,2021-03-19,C00001199,JA-CWWM,1,22100,2021-03-26,,配達済み,武田 楓,たけだ ふう,1996-04-19,女,大阪府,Women White ジャケット C M,アウター,Women,White,M,22100
202103190032-1,2021-03-19,C00001829,NI-CWBS,1,12400,2021-03-23,,配達済み,武田 友紀子,たけだ ゆきこ,1977-05-29,女,東京都,Women Black ニット C S,トップス,Women,Black,S,12400
202103190039-1,2021-03-19,C00002136,NI-BWBM,3,45300,2021-03-19,,配達済み,中原 さおり,なかはら さおり,1975-08-19,女,長野県,Women Black ニット B M,トップス,Women,Black,M,15100
202103190023-1,2021-03-19,C00001366,TS-CMWS,1,7600,2021-03-21,,配達済み,田中 友里,たなか ゆり,1974-12-31,女,東京都,Men White Tシャツ C S,トップス,Men,White,S,7600
202103190031-1,2021-03-19,C00001744,PA-AMWM,1,16500,2021-03-25,,配達済み,篠原 千晶,しのはら ちあき,1982-12-30,女,大阪府,Men White パンツ A M,ボトムス,Men,White,M,16500
202103190006-1,2021-03-19,C00000744,BP-CUNN,1,12900,2021-03-25,,配達済み,藤岡 よう子,ふじおか ようこ,1986-11-24,女,東京都,バックパック C,バッグ,Unisex,,,12900
202103190038-1,2021-03-19,C00002013,NI-CMBL,1,12300,2021-03-26,,配達済み,冨樫 剛,とがし つよし,1996-09-04,男,千葉県,Men Black ニット C L,トップス,Men,Black,L,12300
202103190029-1,2021-03-19,C00001526,PA-BMWL,1,20000,2021-03-22,,配達済み,吉野 明美,よしの あけみ,1977-09-25,女,愛知県,Men White パンツ B L,ボトムス,Men,White,L,20000
202103190016-1,2021-03-19,C00000770,SB-BUNN,1,6800,2021-03-23,,配達済み,安武 かずや,やすたけ かずや,1984-06-09,男,埼玉県,ショルダーバッグ B,バッグ,Unisex,,,6800
202103190001-1,2021-03-19,C00000211,NI-AWBL,1,11000,2021-03-23,,配達済み,濱田 めぐみ,はまだ めぐみ,1987-05-16,女,大分県,Women Black ニット A L,トップス,Women,Black,L,11000
202103190013-1,2021-03-19,C00000754,SW-AWGS,3,52800,2021-03-23,,配達済み,稲葉 修,いなば おさむ,1979-11-23,男,大阪府,Women Gray セーター A S,トップス,Women,Gray,S,17600
202103190019-1,2021-03-19,C00000890,TB-AUNN,1,7800,2021-03-20,,配達済み,近藤 拓也,こんどう たくや,2002-02-22,男,愛知県,トートバッグ A,バッグ,Unisex,,,7800
202103190034-2,2021-03-19,C00001949,TS-CWWM,1,7600,2021-03-19,,配達済み,福住 翔子,ふくずみ しょうこ,1999-07-21,女,神奈川県,Women White Tシャツ C M,トップス,Women,White,M,7600
202103190034-1,2021-03-19,C00001949,TO-AUNN,1,2280,2021-03-19,,配達済み,福住 翔子,ふくずみ しょうこ,1999-07-21,女,神奈川県,タオル A,小物,Unisex,,,2280
202103190030-1,2021-03-19,C00001716,VE-AMBL,1,19800,2021-03-24,,配達済み,鈴木 太一,すずき たいち,1983-01-26,男,東京都,Men Black ベスト A L,アウター,Men,Black,L,19800
202103190003-1,2021-03-19,C00000352,SW-BWGS,1,15900,2021-03-23,,配達済み,杉田 麻衣子,すぎた まいこ,1989-07-07,女,北海道,Women Gray セーター B S,トップス,Women,Gray,S,15900
202103190024-2,2021-03-19,C00001398,HC-AUNN,1,1200,2021-03-23,,配達済み,福山 裕子,ふくやま ゆうこ,1981-05-08,女,東京都,ハンカチ A,小物,Unisex,,,1200
202103190024-1,2021-03-19,C00001398,SK-AWGS,1,18100,2021-03-26,,配達済み,福山 裕子,ふくやま ゆうこ,1981-05-08,女,東京都,Women Gray スカート A S,ボトムス,Women,Gray,S,18100
202103200006-1,2021-03-20,C00000908,PA-CMGS,3,42900,2021-03-23,,配達済み,中村 省二,なかむら せいじ,2005-09-04,男,東京都,Men Gray パンツ C S,ボトムス,Men,Gray,S,14300
202103200004-1,2021-03-20,C00000323,HA-AUNN,1,5280,2021-03-22,,配達済み,吉村 健太,よしむら けんた,1990-05-05,男,埼玉県,帽子 A,小物,Unisex,,,5280
202103200005-1,2021-03-20,C00000652,SW-BMWM,1,15900,2021-03-22,,配達済み,伊藤 健一,いとう けんいち,1984-11-04,男,福井県,Men White セーター B M,トップス,Men,White,M,15900
202103200007-1,2021-03-20,C00001153,HC-AUNN,3,3600,2021-03-23,,配達済み,大野 めぐみ,おおの めぐみ,2001-04-23,女,大阪府,ハンカチ A,小物,Unisex,,,1200
202103200010-1,2021-03-20,C00001555,TS-AWWL,1,8900,2021-03-22,,配達済み,大城 和香奈,おおしろ わかな,1995-06-07,女,大阪府,Women White Tシャツ A L,トップス,Women,White,L,8900
202103200009-1,2021-03-20,C00001253,TS-AWWM,1,8900,2021-03-28,,配達済み,三木 彩香,みき あやか,1993-05-21,女,熊本県,Women White Tシャツ A M,トップス,Women,White,M,8900
202103200002-1,2021-03-20,C00000050,PA-BMGL,1,20000,2021-03-25,,配達済み,立川 圭輔,たちかわ けいすけ,1983-04-02,男,東京都,Men Gray パンツ B L,ボトムス,Men,Gray,L,20000
202103200015-1,2021-03-20,C00001763,PA-BMBM,1,20000,2021-03-22,,配達済み,小倉 裕貴,おぐら ゆうき,1991-01-31,男,東京都,Men Black パンツ B M,ボトムス,Men,Black,M,20000
202103210008-1,2021-03-21,C00001790,HA-BUNN,1,4800,2021-03-28,,配達済み,城山 弥生,しろやま やよい,1997-04-12,女,東京都,帽子 B,小物,Unisex,,,4800
202103210002-1,2021-03-21,C00000311,PA-AMWS,1,16500,2021-03-25,,配達済み,富田 可織,とみた かおり,1982-04-11,女,東京都,Men White パンツ A S,ボトムス,Men,White,S,16500
202103210005-1,2021-03-21,C00001573,PA-AMWL,1,16500,2021-03-25,,配達済み,高崎 優,たかさき ゆう,1990-12-01,男,岐阜県,Men White パンツ A L,ボトムス,Men,White,L,16500
202103210004-1,2021-03-21,C00001133,PA-CWWS,1,14300,2021-03-25,,配達済み,正井 容子,まさい ひろこ,2003-07-15,女,神奈川県,Women White パンツ C S,ボトムス,Women,White,S,14300
202103210009-1,2021-03-21,C00002120,PA-AMWL,1,16500,2021-03-22,,配達済み,久保 徹,くぼ とおる,1980-08-01,男,秋田県,Men White パンツ A L,ボトムス,Men,White,L,16500
202103210003-1,2021-03-21,C00000737,NI-AKBL,2,16600,2021-03-25,,配達済み,櫻井 知弥,さくらい ともみ,1981-08-11,女,東京都,Kids Black ニット A L,トップス,Kids,Black,L,8300
202103210001-1,2021-03-21,C00000196,PA-BWGM,1,19800,2021-03-24,,配達済み,田中 美紀,たなか みき,1978-05-09,女,東京都,Women Gray パンツ B M,ボトムス,Women,Gray,M,19800
202103210013-1,2021-03-21,C00002148,SK-AWWL,1,18100,2021-03-24,,配達済み,古川 澄子,ふるかわ すみこ,1988-06-07,女,広島県,Women White スカート A L,ボトムス,Women,White,L,18100
202103220000-2,2021-03-22,C00000137,TB-BUNN,1,9800,2021-03-25,2021-04-02,キャンセル,吉永 恵美,よしなが えみ,1975-03-20,女,東京都,トートバッグ B,バッグ,Unisex,,,9800
202103220013-2,2021-03-22,C00000738,VE-AMGM,1,19800,2021-03-26,,配達済み,中川 和也,なかがわ かずや,1983-12-01,男,東京都,Men Gray ベスト A M,アウター,Men,Gray,M,19800
202103220013-1,2021-03-22,C00000738,PA-AMWM,1,16500,2021-03-27,,配達済み,中川 和也,なかがわ かずや,1983-12-01,男,東京都,Men White パンツ A M,ボトムス,Men,White,M,16500
202103220020-1,2021-03-22,C00001529,HA-BUNN,1,4800,2021-03-26,,配達済み,山崎 一朗,やまざき いちろー,1973-04-09,男,兵庫県,帽子 B,小物,Unisex,,,4800
202103220009-1,2021-03-22,C00000605,TO-AUNN,1,2280,2021-03-29,,配達済み,津波古 広之,つはこ ひろゆき,1993-10-09,男,東京都,タオル A,小物,Unisex,,,2280
202103220025-1,2021-03-22,C00002054,PA-AMWS,1,16500,2021-03-27,,配達済み,秋元 賢治,あきもと けんじ,1982-04-17,男,北海道,Men White パンツ A S,ボトムス,Men,White,S,16500
202103220006-1,2021-03-22,C00000473,SW-CWGS,2,36800,2021-03-26,2021-04-02,キャンセル,鈴木 彩夏,すずき あやか,2006-04-02,女,東京都,Women Gray セーター C S,トップス,Women,Gray,S,18400
202103220029-1,2021-03-22,C00002229,PA-BWGM,3,59400,2021-03-27,,配達済み,青山 智子,あおやま ともこ,1994-11-04,女,東京都,Women Gray パンツ B M,ボトムス,Women,Gray,M,19800
202103220016-1,2021-03-22,C00000811,PA-BMGL,1,20000,2021-03-28,,配達済み,三田 大輔,みた だいすけ,2002-07-11,男,愛媛県,Men Gray パンツ B L,ボトムス,Men,Gray,L,20000
202103220005-1,2021-03-22,C00000424,SW-CMBS,1,18400,2021-03-28,,配達済み,牧原 将人,まきはら まさと,2003-11-27,男,北海道,Men Black セーター C S,トップス,Men,Black,S,18400
202103220000-1,2021-03-22,C00000137,VE-BWGL,1,18900,2021-03-27,2021-04-02,キャンセル,吉永 恵美,よしなが えみ,1975-03-20,女,東京都,Women Gray ベスト B L,アウター,Women,Gray,L,18900
202103220007-1,2021-03-22,C00000508,PA-BMGM,1,20000,2021-03-26,,配達済み,浅野 隆弘,あさの たかひろ,1997-02-08,男,東京都,Men Gray パンツ B M,ボトムス,Men,Gray,M,20000
202103220021-1,2021-03-22,C00001593,PA-AMBS,1,16500,2021-03-26,,配達済み,野村 健一,のむら けんいち,1991-01-26,男,東京都,Men Black パンツ A S,ボトムス,Men,Black,S,16500
202103220029-3,2021-03-22,C00002229,SW-CWBM,1,18400,2021-03-27,,配達済み,青山 智子,あおやま ともこ,1994-11-04,女,東京都,Women Black セーター C M,トップス,Women,Black,M,18400
202103220019-1,2021-03-22,C00000989,NI-AMBL,1,10000,2021-03-28,,配達済み,村上 建,むらかみ けん,1981-08-27,男,北海道,Men Black ニット A L,トップス,Men,Black,L,10000
202103220018-1,2021-03-22,C00000909,NI-AMBL,2,20000,2021-03-29,,配達済み,多田 隆之,ただ たかゆき,1987-06-21,男,北海道,Men Black ニット A L,トップス,Men,Black,L,10000
202103220024-1,2021-03-22,C00001736,CT-BMGS,1,38900,2021-03-29,,配達済み,諏訪 由紀子,すわ ゆきこ,1990-04-23,女,鳥取県,Men Gray コート B S,アウター,Men,Gray,S,38900
202103220029-2,2021-03-22,C00002229,CT-CWWS,1,31000,2021-03-27,,配達済み,青山 智子,あおやま ともこ,1994-11-04,女,東京都,Women White コート C S,アウター,Women,White,S,31000
202103220027-1,2021-03-22,C00002214,PA-CWBS,1,14300,2021-03-26,,配達済み,南 美幸,みなみ みゆき,1975-03-26,女,福岡県,Women Black パンツ C S,ボトムス,Women,Black,S,14300
202103230000-1,2021-03-23,C00000071,NI-CMWL,1,12300,2021-03-30,,配達済み,杉本 加奈,すぎもと かな,1978-07-07,女,大阪府,Men White ニット C L,トップス,Men,White,L,12300
202103240002-1,2021-03-24,C00000016,SW-BMBM,1,15900,2021-03-25,,配達済み,角田 英明,つのだ ひであき,1999-08-07,男,東京都,Men Black セーター B M,トップス,Men,Black,M,15900
202103240022-1,2021-03-24,C00001234,HC-AUNN,2,2400,2021-03-26,,配達済み,中野 美香,なかの みか,1994-02-15,女,東京都,ハンカチ A,小物,Unisex,,,1200
202103240018-1,2021-03-24,C00000610,PA-CMGL,3,42900,2021-03-24,,配達済み,西村 修一,にしむら しゅういち,2002-06-03,男,大阪府,Men Gray パンツ C L,ボトムス,Men,Gray,L,14300
202103240025-1,2021-03-24,C00001846,SW-BWGM,1,15900,2021-03-24,,配達済み,山田 くるみ,やまだ くるみ,1995-03-19,女,東京都,Women Gray セーター B M,トップス,Women,Gray,M,15900
202103240026-1,2021-03-24,C00002196,TS-BWWM,1,7600,2021-03-25,,配達済み,秋本 由佳,あきもと ゆか,1973-07-15,女,東京都,Women White Tシャツ B M,トップス,Women,White,M,7600
202103240006-1,2021-03-24,C00000019,TO-AUNN,1,2280,2021-03-24,,配達済み,稲本 真司,いなもと しんじ,1986-06-12,男,東京都,タオル A,小物,Unisex,,,2280
202103240020-1,2021-03-24,C00000909,VE-BMWL,1,18000,2021-03-26,,配達済み,多田 隆之,ただ たかゆき,1987-06-21,男,北海道,Men White ベスト B L,アウター,Men,White,L,18000
202103240015-1,2021-03-24,C00000577,SB-AUNN,1,8800,2021-03-25,,配達済み,岩本 真由美,いわもと まゆみ,1999-04-05,女,兵庫県,ショルダーバッグ A,バッグ,Unisex,,,8800
202103240019-1,2021-03-24,C00000646,NI-BWBS,1,15100,2021-03-25,,配達済み,本間 真弓,ほんま まゆみ,1981-04-27,女,愛媛県,Women Black ニット B S,トップス,Women,Black,S,15100
202103240011-1,2021-03-24,C00000427,SK-AWGS,1,18100,2021-03-24,,配達済み,石田 令子,いしだ れいこ,1975-04-23,女,宮城県,Women Gray スカート A S,ボトムス,Women,Gray,S,18100
202103240008-1,2021-03-24,C00000302,NI-CMBS,1,12300,2021-03-26,,配達済み,田中 修,たなか おさむ,1975-12-26,男,神奈川県,Men Black ニット C S,トップス,Men,Black,S,12300
202103240024-1,2021-03-24,C00001385,VE-BMGS,1,18000,2021-03-26,,配達済み,吉澤 あかね,よしざわ あかね,1988-05-27,女,東京都,Men Gray ベスト B S,アウター,Men,Gray,S,18000
202103240016-1,2021-03-24,C00000578,TO-BUNN,2,4360,2021-03-24,,配達済み,永井 智子,ながい ともこ,2007-01-18,女,北海道,タオル B,小物,Unisex,,,2180
202103240021-1,2021-03-24,C00001096,JA-CMBS,1,20800,2021-03-26,,配達済み,根岸 豊,ねぎし ゆたか,1985-05-01,男,大阪府,Men Black ジャケット C S,アウター,Men,Black,S,20800
202103240007-1,2021-03-24,C00000136,NI-AMBM,1,10000,2021-03-25,,配達済み,清水 勝彦,しみず かつひこ,2000-05-02,男,北海道,Men Black ニット A M,トップス,Men,Black,M,10000
202103250013-2,2021-03-25,C00001495,JA-AWBS,3,95700,2021-03-31,,配達済み,芹川 玲子,せりかわ れいこ,2002-02-07,女,愛知県,Women Black ジャケット A S,アウター,Women,Black,S,31900
202103250013-1,2021-03-25,C00001495,PA-CWBS,1,14300,2021-03-29,,配達済み,芹川 玲子,せりかわ れいこ,2002-02-07,女,愛知県,Women Black パンツ C S,ボトムス,Women,Black,S,14300
202103250015-1,2021-03-25,C00001498,PA-BWWM,1,19800,2021-03-31,,配達済み,鈴木 楓,すずき ふう,1996-05-01,女,愛媛県,Women White パンツ B M,ボトムス,Women,White,M,19800
202103250000-1,2021-03-25,C00000214,NI-AWBL,1,11000,2021-03-31,,配達済み,本宮 裕美,もとみや ゆみ,1982-01-27,女,大阪府,Women Black ニット A L,トップス,Women,Black,L,11000
202103250004-1,2021-03-25,C00001127,SB-AUNN,1,8800,2021-03-30,,配達済み,橋本 ちひろ,はしもと ちひろ,1991-10-23,女,山梨県,ショルダーバッグ A,バッグ,Unisex,,,8800
202103250001-1,2021-03-25,C00000455,TS-CWWS,1,7600,2021-03-29,,配達済み,内田 えみ,うちだ えみ,1983-04-22,女,東京都,Women White Tシャツ C S,トップス,Women,White,S,7600
202103250017-1,2021-03-25,C00002000,BP-CUNN,1,12900,2021-03-28,,配達済み,佐久間 麗奈,さくま れいな,1994-02-17,女,北海道,バックパック C,バッグ,Unisex,,,12900
202103250007-1,2021-03-25,C00001357,NI-CMGM,1,12300,2021-04-01,,配達済み,山根 泰,やまね やすし,1973-03-30,男,大阪府,Men Gray ニット C M,トップス,Men,Gray,M,12300
202103250003-1,2021-03-25,C00000565,BP-AUNN,1,10200,2021-03-30,,配達済み,島田 慎介,しまだ しんすけ,1988-03-15,男,福岡県,バックパック A,バッグ,Unisex,,,10200
202103250002-1,2021-03-25,C00000493,PA-AMWM,1,16500,2021-03-29,,配達済み,佐々木 真二,ささき しんじ,1988-09-28,男,岩手県,Men White パンツ A M,ボトムス,Men,White,M,16500
202103260003-1,2021-03-26,C00000218,JA-BWWL,1,21000,2021-03-29,,配達済み,倉田 絵里奈,くらた えりな,2000-07-02,女,大阪府,Women White ジャケット B L,アウター,Women,White,L,21000
202103260058-1,2021-03-26,C00001873,SW-AMWS,1,16000,2021-04-01,,配達済み,樋口 昌司,ひぐち しょうじ,1996-01-23,男,愛知県,Men White セーター A S,トップス,Men,White,S,16000
202103260058-3,2021-03-26,C00001873,HC-BUNN,1,980,2021-04-02,,配達済み,樋口 昌司,ひぐち しょうじ,1996-01-23,男,愛知県,ハンカチ B,小物,Unisex,,,980
202103260049-1,2021-03-26,C00001531,HA-BUNN,1,4800,2021-04-01,,配達済み,上野 佳奈,うえの かな,1971-11-23,女,東京都,帽子 B,小物,Unisex,,,4800
202103260051-1,2021-03-26,C00001546,PA-CWBM,1,14300,2021-04-01,,配達済み,安東 記代,あんどう きよ,1998-08-07,女,熊本県,Women Black パンツ C M,ボトムス,Women,Black,M,14300
202103260065-1,2021-03-26,C00002206,SK-AWGL,2,36200,2021-03-30,,配達済み,池原 今日子,いけはら きょうこ,1999-03-17,女,東京都,Women Gray スカート A L,ボトムス,Women,Gray,L,18100
202103260006-1,2021-03-26,C00000563,PA-AMGL,1,16500,2021-04-01,,配達済み,倉橋 暁,くらはし あき,1973-10-16,男,新潟県,Men Gray パンツ A L,ボトムス,Men,Gray,L,16500
202103260008-1,2021-03-26,C00000688,SW-BMGS,1,15900,2021-04-03,,配達済み,木内 渉,きうち わたる,2001-06-05,男,兵庫県,Men Gray セーター B S,トップス,Men,Gray,S,15900
202103260059-1,2021-03-26,C00001877,PA-BWBM,1,19800,2021-04-02,,配達済み,山下 美紗子,やました みさこ,1996-06-02,女,福岡県,Women Black パンツ B M,ボトムス,Women,Black,M,19800
202103260046-1,2021-03-26,C00001325,TO-AUNN,1,2280,2021-03-30,,配達済み,美馬 晃佑,みま こうすけ,1987-12-24,男,岡山県,タオル A,小物,Unisex,,,2280
202103260013-1,2021-03-26,C00000782,CT-BMWM,2,77800,2021-03-28,,配達済み,西野 茂樹,にしの しげき,1984-02-17,男,埼玉県,Men White コート B M,アウター,Men,White,M,38900
202103260005-1,2021-03-26,C00000427,SK-AWBS,1,18100,2021-04-02,,配達済み,石田 令子,いしだ れいこ,1975-04-23,女,宮城県,Women Black スカート A S,ボトムス,Women,Black,S,18100
202103260036-1,2021-03-26,C00001282,HA-BUNN,1,4800,2021-04-02,,配達済み,塚原 透,つかはら とおる,2002-07-24,男,大阪府,帽子 B,小物,Unisex,,,4800
202103260056-1,2021-03-26,C00001670,TS-AWWS,1,8900,2021-04-02,,配達済み,小池 祥江,こいけ よしえ,1979-12-02,女,東京都,Women White Tシャツ A S,トップス,Women,White,S,8900
202103260029-1,2021-03-26,C00000989,NI-BMGS,1,14500,2021-03-28,,配達済み,村上 建,むらかみ けん,1981-08-27,男,北海道,Men Gray ニット B S,トップス,Men,Gray,S,14500
202103260035-1,2021-03-26,C00001280,PA-AMGM,1,16500,2021-03-29,,配達済み,前川 和雄,まえかわ かずお,1974-11-12,男,埼玉県,Men Gray パンツ A M,ボトムス,Men,Gray,M,16500
202103260053-1,2021-03-26,C00001583,NI-BMBL,1,14500,2021-04-03,,配達済み,林 龍一,はやし りゅういち,1972-05-26,男,東京都,Men Black ニット B L,トップス,Men,Black,L,14500
202103260027-1,2021-03-26,C00000978,TS-AWGM,1,8900,2021-03-31,,配達済み,小川 葉子,おがわ ようこ,1994-12-11,女,大阪府,Women Gray Tシャツ A M,トップス,Women,Gray,M,8900
202103260019-1,2021-03-26,C00000913,TB-AUNN,1,7800,2021-03-28,,配達済み,笹部 洋輔,ささべ ようすけ,1995-03-04,男,東京都,トートバッグ A,バッグ,Unisex,,,7800
202103260007-1,2021-03-26,C00000621,BP-BUNN,1,9800,2021-04-04,,配達済み,村上 あかね,むらかみ あかね,1988-02-27,女,東京都,バックパック B,バッグ,Unisex,,,9800
202103260048-1,2021-03-26,C00001377,PA-CWGL,1,14300,2021-03-30,,配達済み,藤中 亜衣,ふじなか あい,1996-01-04,女,北海道,Women Gray パンツ C L,ボトムス,Women,Gray,L,14300
202103260032-1,2021-03-26,C00001049,PA-BMGM,1,20000,2021-03-27,,配達済み,福村 万里子,ふくむら まりこ,1997-10-01,女,福岡県,Men Gray パンツ B M,ボトムス,Men,Gray,M,20000
202103260010-1,2021-03-26,C00000692,HC-AUNN,1,1200,2021-03-31,,配達済み,細江 久志,ほそえ ひさし,1995-01-22,男,兵庫県,ハンカチ A,小物,Unisex,,,1200
202103260058-2,2021-03-26,C00001873,NI-BMWL,1,14500,2021-04-02,,配達済み,樋口 昌司,ひぐち しょうじ,1996-01-23,男,愛知県,Men White ニット B L,トップス,Men,White,L,14500
202103260042-1,2021-03-26,C00001286,SB-BUNN,1,6800,2021-04-04,,配達済み,小林 明子,こばやし あきこ,1981-07-08,女,東京都,ショルダーバッグ B,バッグ,Unisex,,,6800
202103260023-1,2021-03-26,C00000954,SB-AUNN,1,8800,2021-04-02,,配達済み,橋本 裕子,はしもと ゆうこ,2000-03-06,女,東京都,ショルダーバッグ A,バッグ,Unisex,,,8800
202103260057-1,2021-03-26,C00001742,HC-BUNN,1,980,2021-03-31,,配達済み,加藤 誠,かとう まこと,1973-03-04,男,埼玉県,ハンカチ B,小物,Unisex,,,980
202103260026-1,2021-03-26,C00000957,NI-BMGL,1,14500,2021-03-30,,配達済み,田中 慎一郎,たなか しんいちろう,1986-02-19,男,茨城県,Men Gray ニット B L,トップス,Men,Gray,L,14500
202103260061-1,2021-03-26,C00002004,VE-CWWL,1,16800,2021-04-04,,配達済み,藤田 杏奈,ふじた あんな,1980-10-26,女,神奈川県,Women White ベスト C L,アウター,Women,White,L,16800
202103260064-1,2021-03-26,C00002028,TB-BUNN,1,9800,2021-03-29,,配達済み,佐藤 弥生,さとう やよい,1999-04-26,女,新潟県,トートバッグ B,バッグ,Unisex,,,9800
202103260001-1,2021-03-26,C00000133,PA-BMWL,1,20000,2021-03-31,,配達済み,中安 英子,なかやす ひでこ,1985-12-26,女,宮城県,Men White パンツ B L,ボトムス,Men,White,L,20000
202103260000-1,2021-03-26,C00000116,SW-CMGL,3,55200,2021-04-01,,配達済み,鈴木 和之,すずき かずゆき,2001-02-13,男,熊本県,Men Gray セーター C L,トップス,Men,Gray,L,18400
202103260034-1,2021-03-26,C00001104,BP-CUNN,3,38700,2021-04-02,,配達済み,江川 真理子,えがわ まりこ,1991-10-19,女,兵庫県,バックパック C,バッグ,Unisex,,,12900
202103260016-1,2021-03-26,C00000816,PA-CWBS,1,14300,2021-04-03,,配達済み,野村 直美,のむら なおみ,2005-12-23,女,愛媛県,Women Black パンツ C S,ボトムス,Women,Black,S,14300
202103260015-1,2021-03-26,C00000786,NI-AWWM,1,11000,2021-03-27,,配達済み,川端 智子,かわばた ともこ,1988-05-22,女,東京都,Women White ニット A M,トップス,Women,White,M,11000
202103260034-2,2021-03-26,C00001104,TB-BUNN,1,9800,2021-03-30,,配達済み,江川 真理子,えがわ まりこ,1991-10-19,女,兵庫県,トートバッグ B,バッグ,Unisex,,,9800
202103270016-2,2021-03-27,C00001422,HA-AUNN,1,5280,2021-03-29,,配達済み,島 雄一,しま ゆういち,1994-03-24,男,埼玉県,帽子 A,小物,Unisex,,,5280
